max_length,bleu_score,dataset
32,Running experiment with max_length=32...
87.02483113103223,dbpedia-entity
28,Running experiment with max_length=28...
86.5459871979648,dbpedia-entity
24,Running experiment with max_length=24...
83.85809815048293,dbpedia-entity
20,Running experiment with max_length=20...
85.39441473135166,dbpedia-entity
16,Running experiment with max_length=16...
85.6354804465134,dbpedia-entity
12,Running experiment with max_length=12...
84.65020796875767,dbpedia-entity
8,Running experiment with max_length=8...
74.5002164378704,dbpedia-entity
36,Running experiment with max_length=36...
65.33074104046207,dbpedia-entity
40,Running experiment with max_length=40...
52.428152020723154,dbpedia-entity
44,Running experiment with max_length=44...
42.358129793497966,dbpedia-entity
48,Running experiment with max_length=48...
36.923003021992514,dbpedia-entity
52,Running experiment with max_length=52...
33.93510604491155,dbpedia-entity
56,Running experiment with max_length=56...
30.140387272063187,dbpedia-entity
60,Running experiment with max_length=60...
28.084639082956123,dbpedia-entity
64,Running experiment with max_length=64...
25.98339119874043,dbpedia-entity
68,Running experiment with max_length=68...
24.800014775897107,dbpedia-entity
72,Running experiment with max_length=72...
24.2783839590606,dbpedia-entity
76,Running experiment with max_length=76...
23.389665586134235,dbpedia-entity
80,Running experiment with max_length=80...
23.181228195107153,dbpedia-entity
